objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,youtubeid,display_template,filename,image_small,image_thumb,image_alt_text,object_transcript
hc_0001,,to father,Horace Comstock,1943-01-09,,Letter to father from infantry training.,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,,record,compund_object,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,multiple,,,,,
hc_0002,hc_0001,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/full/0001_full.jpg,https://storage.googleapis.com/horace-comstock/images/small/0001_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0001_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0001.txt
hc_0003,hc_0001,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/full/0002_full.jpg,https://storage.googleapis.com/horace-comstock/images/small/0002_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0002_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0002.txt
hc_0004,hc_0001,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/half/0003_half.jpg,https://storage.googleapis.com/horace-comstock/images/small/0003_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0003_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0003.txt
hc_0005,hc_0304,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/half/0004_half.jpg,https://storage.googleapis.com/horace-comstock/images/small/0004_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0004_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0004.txt
hc_0006,hc_0304,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"Pine Bluff, Arkansas",34.17702662,-91.93662273,letter,,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/half/0005_half.jpg,https://storage.googleapis.com/horace-comstock/images/small/0005_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0005_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0005.txt
hc_0007,hc_0305,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"San Antonio, Texas",29.424349,-98.491142,letter,,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/half/0006_half.jpg,https://storage.googleapis.com/horace-comstock/images/small/0006_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0006_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0006.txt
hc_0008,hc_0305,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"San Antonio, Texas",29.424349,-98.491142,letter,,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/half/0007_half.jpg,https://storage.googleapis.com/horace-comstock/images/small/0007_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0007_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0007.txt
hc_0009,hc_0305,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"San Antonio, Texas",29.424349,-98.491142,letter,,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/half/0008_half.jpg,https://storage.googleapis.com/horace-comstock/images/small/0008_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0008_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0008.txt
hc_0010,hc_0305,page image,Horace Comstock,,,,war; WWII; Army; correspondence; fighter pilot,"San Antonio, Texas",29.424349,-98.491142,letter,,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,,image,https://storage.googleapis.com/horace-comstock/images/half/0009_half.jpg,https://storage.googleapis.com/horace-comstock/images/small/0009_sm.jpg,https://storage.googleapis.com/horace-comstock/images/thumb/0009_th.jpg,ex alt text,https://storage.googleapis.com/horace-comstock/images/text/0009.txt
